kernel,shape,tile,cuda_ms,cuda_std_ms,torch_ms,torch_std_ms,slowdown,metric,cuda_rate,torch_rate
matmul,"(1024, 1024) @ (1024, 3072)",,2.189,0.089,0.418,0.009,5.2,TFLOPS,2.94,15.42
matmul_coalesced,"(1024, 1024) @ (1024, 3072)",,2.151,0.138,0.420,0.007,5.1,TFLOPS,3.00,15.32
matmul_smem,"(1024, 1024) @ (1024, 3072)",,1.407,0.129,0.419,0.005,3.4,TFLOPS,4.58,15.37
matmul_blocktiling,"(1024, 1024) @ (1024, 3072)",BM=64 BN=64 TM=8 BK=8,1.262,0.064,0.419,0.005,3.0,TFLOPS,5.10,15.38
matmul_blocktiling_2d,"(1024, 1024) @ (1024, 3072)",BM=128 BN=128 TM=8 TN=8 BK=8,0.797,0.006,0.421,0.005,1.9,TFLOPS,8.08,15.30
matmul_vectorize,"(1024, 1024) @ (1024, 3072)",BM=128 BN=128 TM=8 TN=8 BK=8,0.703,0.029,0.425,0.018,1.7,TFLOPS,9.16,15.14
matmul_vectorize_bk16,"(1024, 1024) @ (1024, 3072)",BM=128 BN=128 TM=8 TN=8 BK=16,0.686,0.070,0.432,0.012,1.6,TFLOPS,9.39,14.92
batch_matmul,"(64, 256, 128) @ (64, 128, 256)",,0.780,0.007,0.126,0.022,6.2,TFLOPS,1.38,8.49
batch_matmul_coalesced,"(64, 256, 128) @ (64, 128, 256)",,0.682,0.082,0.126,0.006,5.4,TFLOPS,1.57,8.55
batch_matmul_smem,"(64, 256, 128) @ (64, 128, 256)",,0.327,0.006,0.130,0.004,2.5,TFLOPS,3.28,8.25
batch_matmul_blocktiling,"(64, 256, 128) @ (64, 128, 256)",BM=64 BN=64 TM=8 BK=8,0.276,0.007,0.149,0.006,1.8,TFLOPS,3.90,7.21
batch_matmul_blocktiling_2d,"(64, 256, 128) @ (64, 128, 256)",BM=128 BN=128 TM=8 TN=8 BK=8,0.269,0.008,0.148,0.006,1.8,TFLOPS,3.99,7.26
batch_matmul_blocktiling_2d_qk,"(64, 256, 128) @ (64, 128, 256)",BM=64 BN=64 TM=4 TN=4 BK=32,0.160,0.006,0.148,0.006,1.1,TFLOPS,6.71,7.23
batch_matmul_vectorize,"(64, 256, 128) @ (64, 128, 256)",BM=64 BN=64 TM=4 TN=4 BK=32,0.159,0.007,0.150,0.008,1.1,TFLOPS,6.77,7.17
addition,"(4, 256, 1024) + (4, 256, 1024)",,0.085,0.012,0.030,0.007,2.8,GB/s,148.68,414.82
addition_vectorize,"(4, 256, 1024) + (4, 256, 1024)",,0.085,0.013,0.034,0.008,2.5,GB/s,147.50,366.33
multi,"(4, 256, 3072) * (4, 256, 3072)",,0.078,0.015,0.045,0.006,1.7,GB/s,484.25,836.92
multi_vectorize,"(4, 256, 3072) * (4, 256, 3072)",,0.075,0.012,0.044,0.007,1.7,GB/s,506.07,849.15
softmax,"(64, 256, 256)",,0.127,0.005,0.040,0.004,3.1,GB/s,263.70,830.61
softmax_online,"(64, 256, 256)",,0.130,0.010,0.044,0.018,2.9,GB/s,258.43,760.99
softmax_shuffle,"(64, 256, 256)",,0.102,0.016,0.043,0.012,2.4,GB/s,329.13,780.28
rmsnorm,"(4, 256, 1024)",,0.063,0.009,0.038,0.010,1.6,GB/s,132.60,218.04
